DOB,AGE,INSTAGRAM [SPENT TIME(IN HOURS)],WHATS APP [SPENT TIME(IN HOURS)],LinkedIn [SPENT TIME(IN HOURS)],FACEBOOK [SPENT TIME(IN HOURS)],SNAPCHAT [SPENT TIME(IN HOURS)],TWITTER [SPENT TIME(IN HOURS)],SLEEP DURATION,SCREEN TIME,SEX,SMDY [IN %],LAZY [IN %],DEMOTIVATE [IN %],ANXIETY [IN %],SELF-CONSCIOUS [IN %],LONELINESS [IN %],INSPIRED [IN %],SMISC,SMNDT,RIFF,SMNDTT,SMISCC,RIFFF
28-06-2000,23,3,1,1,1,1,2,7,2,Female,60,80,95,60,90,20,40,0,1,-1,Yes,Negative Impact,Negative Impact
28-04-2004,20,4,3,3,0,2,2,8,4,Male,70,30,70,90,30,80,80,0,0,1,No,Negative Impact,Positive Impact
15-12-2004,19,2,1,1,0,3,1,8,3,Female,70,20,80,80,80,20,60,1,1,1,Yes,Positive impact,Positive Impact
31-12-2004,19,3,1,1,2,2,4,5,3,Male,80,50,60,90,70,50,80,1,1,-1,Yes,Positive impact,Negative Impact
15-07-2005,18,2,2,2,2,2,1,7,2,Female,70,80,95,80,80,20,60,1,1,0,Yes,Positive impact,Positive Impact
10-10-2005,18,1,2,2,1,1,3,7,4,Male,80,80,60,70,60,70,50,1,1,-1,Yes,Positive impact,Negative Impact
17-12-1998,25,3,1,3,3,3,1,7,4,Male,60,80,60,70,30,60,80,0,0,-1,No,Negative Impact,Negative Impact
25-10-2004,19,2,2,2,2,2,1,5,3,Female,80,70,50,60,90,20,40,0,1,0,Yes,Negative Impact,No change
03-12-2000,23,3,2,2,2,2,2,7,4,Male,80,60,39,20,30,50,90,1,0,0,No,Positive impact,No change
25-12-2002,21,4,3,3,0,3,2,7,3,Male,30,20,50,20,30,20,40,1,0,1,No,No impact,Positive Impact
29-08-2003,20,2,2,2,2,2,1,7,2,Female,70,80,95,60,90,20,40,0,0,1,No,Negative Impact,Positive Impact
12-11-2002,21,3,2,2,1,2,0,7,4,Male,80,80,70,60,60,80,80,0,1,1,Yes,No impact,Positive Impact
08-07-2002,21,1,1,1,1,1,0,7,1,Female,80,80,50,70,70,20,30,0,0,-1,No,Negative Impact,Negative Impact
02-11-1979,44,2,2,2,2,2,0,7,4,Male,60,80,80,70,60,60,40,0,0,0,No,Negative Impact,No change
12-08-2004,19,3,3,3,3,3,1,7,4,Female,70,70,95,90,90,80,90,1,1,0,Yes,Positive impact,No change
05-11-2004,19,3,3,1,3,3,1,8,4,Male,80,80,70,70,60,70,60,1,1,1,Yes,No impact,Positive Impact
11-05-2004,19,4,4,3,4,4,2,5,4,Male,80,20,50,70,80,60,40,0,0,-1,No,Negative Impact,Negative Impact
01-07-1983,40,3,3,1,3,3,2,7,2,Male,70,80,60,60,50,70,90,1,1,1,Yes,Positive impact,Positive Impact
22-06-1999,24,2,2,1,2,2,1,8,4,Male,80,30,95,80,60,20,60,0,0,1,No,Negative Impact,Positive Impact
09-12-1967,56,4,2,2,2,4,0,8,4,Female,40,60,50,70,50,50,40,1,1,-1,Yes,Positive impact,Negative Impact
01-01-1991,33,2,2,2,0,2,0,7,4,Male,80,80,50,60,50,70,50,1,1,-1,Yes,Positive impact,Negative Impact
06-01-2004,20,3,3,3,2,3,0,7,4,Male,80,80,30,70,60,20,60,1,1,0,Yes,Positive impact,No change
08-06-2002,21,3,2,3,1,3,2,7,4,Female,80,50,80,40,80,50,90,1,1,0,Yes,Positive impact,No change
