DOB,AGE,INSTAGRAM [SPENT TIME(IN HOURS)],WHATS APP [SPENT TIME(IN HOURS)],LinkedIn [SPENT TIME(IN HOURS)],FACEBOOK [SPENT TIME(IN HOURS)],SNAPCHAT [SPENT TIME(IN HOURS)],TWITTER [SPENT TIME(IN HOURS)],SLEEP DURATION,SCREEN TIME
28-06-2000,23,3,1,1,1,1,2,7,2
28-04-2004,20,4,3,3,0,2,2,8,4
15-12-2004,19,2,1,1,0,3,1,8,3
31-12-2004,19,3,1,1,2,2,4,5,3
15-07-2005,18,2,2,2,2,2,1,7,2
10-10-2005,18,1,2,2,1,1,3,7,4
17-12-1998,25,3,1,3,3,3,1,7,4
25-10-2004,19,2,2,2,2,2,1,5,3
03-12-2000,23,3,2,2,2,2,2,7,4
25-12-2002,21,4,3,3,0,3,2,7,3
29-08-2003,20,2,2,2,2,2,1,7,2
12-11-2002,21,3,2,2,1,2,0,7,4
08-07-2002,21,1,1,1,1,1,0,7,1
02-11-1979,44,2,2,2,2,2,0,7,4
12-08-2004,19,3,3,3,3,3,1,7,4
05-11-2004,19,3,3,1,3,3,1,8,4
11-05-2004,19,4,4,3,4,4,2,5,4
01-07-1983,40,3,3,1,3,3,2,7,2
22-06-1999,24,2,2,1,2,2,1,8,4
09-12-1967,56,4,2,2,2,4,0,8,4
01-01-1991,33,2,2,2,0,2,0,7,4
06-01-2004,20,3,3,3,2,3,0,7,4
08-06-2002,21,3,2,3,1,3,2,7,4
16-12-2003,20,4,2,4,1,4,2,7,4
31-05-2005,18,3,3,3,2,3,1,7,4
27-12-2003,20,3,3,3,3,3,4,8,3
06-10-2004,19,2,2,2,2,2,1,8,3
12-11-2005,18,2,2,2,2,2,1,7,2
19-01-2005,19,3,4,4,4,4,0,5,4
16-08-2005,18,4,3,3,3,3,0,7,3
16-01-2005,19,2,2,2,2,2,2,7,3
09-09-2000,23,3,3,3,2,3,2,7,3
04-07-2005,18,2,3,3,0,3,1,7,2
04-07-2002,21,1,3,3,2,3,3,7,3
15-02-2005,19,3,3,3,1,3,2,7,3
10-10-2005,18,2,2,1,1,2,2,7,4
03-04-2005,19,3,3,3,2,3,0,8,3
22-10-2003,20,4,3,1,3,3,2,7,4
27-11-2003,20,2,2,1,2,2,1,7,4
10-10-2005,18,3,2,2,3,3,1,7,4
10-10-2000,23,1,2,2,3,3,2,7,4
23-10-2002,21,2,3,0,2,2,3,7,2
15-08-2004,19,3,3,0,3,3,0,7,3
19-08-2006,17,3,1,1,1,1,0,7,3
23-09-2006,17,4,3,3,3,3,0,8,3
15-01-2002,22,3,3,4,3,3,1,7,4
08-12-2001,22,2,4,2,4,4,1,7,4
04-07-2004,19,4,4,3,4,4,2,7,4
05-07-2023,17,2,1,1,3,2,2,7,3
06-07-2023,22,3,1,4,4,4,1,7,4
07-07-2023,21,3,1,2,2,2,0,7,3
08-07-2023,16,4,2,1,2,2,0,8,3
09-07-2023,18,3,4,3,1,4,0,9,4
10-07-2023,21,3,3,3,4,3,2,7,4
11-07-2023,17,3,3,2,3,3,2,7,4
12-07-2023,16,2,2,2,2,2,1,7,4
13-07-2023,21,3,3,3,3,3,4,8,3
14-07-2023,16,2,2,4,2,2,1,7,3
15-07-2023,22,4,4,2,4,4,1,5,4
16-07-2023,17,4,4,1,4,4,0,7,4
17-07-2023,18,4,4,3,4,4,0,8,4
18-07-2023,19,4,4,1,4,4,2,8,4
19-07-2023,16,3,3,1,2,3,2,7,4
20-07-2023,20,2,2,2,2,2,1,7,4
21-07-2023,22,2,2,2,1,2,2,7,2
22-07-2023,20,2,2,4,4,2,2,7,4
23-07-2023,22,4,4,3,4,4,0,7,4
24-07-2023,26,3,3,2,3,3,2,7,3
25-07-2023,21,4,4,4,4,4,1,7,4
26-07-2023,21,2,2,2,2,2,1,7,4
27-07-2023,21,3,3,3,3,3,2,7,4
28-07-2023,22,3,3,3,3,3,3,8,4
29-07-2023,56,3,3,1,3,3,0,7,4
30-07-2023,21,2,2,3,2,2,0,7,2
31-07-2023,22,4,4,1,4,4,0,7,3
01-08-2023,51,2,2,1,2,2,1,7,2
02-08-2023,22,1,1,2,1,1,1,7,1
03-08-2023,28,2,2,2,2,2,2,7,3
04-08-2023,25,1,1,1,1,1,2,7,2
05-08-2023,27,4,4,4,4,4,1,8,4
06-08-2023,26,3,3,3,3,3,0,7,3
07-08-2023,50,2,2,2,2,2,0,7,2
08-08-2023,22,2,2,2,2,2,0,7,2
09-08-2023,23,3,3,3,3,3,0,7,4
10-08-2023,19,2,2,2,2,2,1,7,3
11-08-2023,21,3,3,3,3,3,1,8,2
12-08-2023,29,2,2,2,2,2,2,7,2
13-08-2023,20,4,4,4,4,4,2,7,4
14-08-2023,53,3,3,3,3,3,1,5,3
15-08-2023,27,4,4,1,4,4,0,7,2
16-08-2023,36,4,4,3,4,4,2,7,4
17-08-2023,13,2,2,1,2,2,0,7,2
18-08-2023,20,3,3,1,3,3,0,5,4
19-08-2023,19,3,3,2,3,3,1,7,4
20-08-2023,20,3,3,2,3,3,3,7,3
21-08-2023,19,1,1,1,1,1,4,7,3
